Date,Time (ET),Away Team,Home Team
2024/9/5,8:20 PM,Baltimore Ravens,Kansas City Chiefs
2024/9/6,8:15 PM,Green Bay Packers,Philadelphia Eagles
2024/9/8,1:00 PM,Arizona Cardinals,Buffalo Bills
2024/9/8,1:00 PM,Carolina Panthers,New Orleans Saints
2024/9/8,1:00 PM,Houston Texans,Indianapolis Colts
2024/9/8,1:00 PM,Jacksonville Jaguars,Miami Dolphins
2024/9/8,1:00 PM,Minnesota Vikings,New York Giants
2024/9/8,1:00 PM,New England Patriots,Cincinnati Bengals
2024/9/8,1:00 PM,Pittsburgh Steelers,Atlanta Falcons
2024/9/8,1:00 PM,Tennessee Titans,Chicago Bears
2024/9/8,4:05 PM,Denver Broncos,Seattle Seahawks
2024/9/8,4:05 PM,Las Vegas Raiders,Los Angeles Chargers
2024/9/8,4:25 PM,Dallas Cowboys,Cleveland Browns
2024/9/8,4:25 PM,Washington Commanders,Tampa Bay Buccaneers
2024/9/8,8:20 PM,Los Angeles Rams,Detroit Lions
2024/9/9,8:15 PM,New York Jets,San Francisco 49ers
2024/9/12,8:15 PM,Buffalo Bills,Miami Dolphins
2024/9/15,1:00 PM,Cleveland Browns,Jacksonville Jaguars
2024/9/15,1:00 PM,Indianapolis Colts,Green Bay Packers
2024/9/15,1:00 PM,Las Vegas Raiders,Baltimore Ravens
2024/9/15,1:00 PM,Los Angeles Chargers,Carolina Panthers
2024/9/15,1:00 PM,New Orleans Saints,Dallas Cowboys
2024/9/15,1:00 PM,New York Giants,Washington Commanders
2024/9/15,1:00 PM,New York Jets,Tennessee Titans
2024/9/15,1:00 PM,San Francisco 49ers,Minnesota Vikings
2024/9/15,1:00 PM,Seattle Seahawks,New England Patriots
2024/9/15,1:00 PM,Tampa Bay Buccaneers,Detroit Lions
2024/9/15,4:05 PM,Los Angeles Rams,Arizona Cardinals
2024/9/15,4:25 PM,Cincinnati Bengals,Kansas City Chiefs
2024/9/15,4:25 PM,Pittsburgh Steelers,Denver Broncos
2024/9/15,8:20 PM,Chicago Bears,Houston Texans
2024/9/16,8:15 PM,Atlanta Falcons,Philadelphia Eagles
2024/9/19,8:15 PM,New England Patriots,New York Jets
2024/9/22,1:00 PM,Chicago Bears,Indianapolis Colts
2024/9/22,1:00 PM,Denver Broncos,Tampa Bay Buccaneers
2024/9/22,1:00 PM,Green Bay Packers,Tennessee Titans
2024/9/22,1:00 PM,Houston Texans,Minnesota Vikings
2024/9/22,1:00 PM,Los Angeles Chargers,Pittsburgh Steelers
2024/9/22,1:00 PM,New York Giants,Cleveland Browns
2024/9/22,1:00 PM,Philadelphia Eagles,New Orleans Saints
2024/9/22,4:05 PM,Carolina Panthers,Las Vegas Raiders
2024/9/22,4:05 PM,Miami Dolphins,Seattle Seahawks
2024/9/22,4:25 PM,Baltimore Ravens,Dallas Cowboys
2024/9/22,4:25 PM,Detroit Lions,Arizona Cardinals
2024/9/22,4:25 PM,San Francisco 49ers,Los Angeles Rams
2024/9/22,8:20 PM,Kansas City Chiefs,Atlanta Falcons
2024/9/23,7:30 PM,Jacksonville Jaguars,Buffalo Bills
2024/9/23,8:15 PM,Washington Commanders,Cincinnati Bengals
2024/9/26,8:15 PM,Dallas Cowboys,New York Giants
2024/9/29,1:00 PM,Cincinnati Bengals,Carolina Panthers
2024/9/29,1:00 PM,Denver Broncos,New York Jets
2024/9/29,1:00 PM,Jacksonville Jaguars,Houston Texans
2024/9/29,1:00 PM,Los Angeles Rams,Chicago Bears
2024/9/29,1:00 PM,Minnesota Vikings,Green Bay Packers
2024/9/29,1:00 PM,New Orleans Saints,Atlanta Falcons
2024/9/29,1:00 PM,Philadelphia Eagles,Tampa Bay Buccaneers
2024/9/29,1:00 PM,Pittsburgh Steelers,Indianapolis Colts
2024/9/29,4:05 PM,New England Patriots,San Francisco 49ers
2024/9/29,4:05 PM,Washington Commanders,Arizona Cardinals
2024/9/29,4:25 PM,Cleveland Browns,Las Vegas Raiders
2024/9/29,4:25 PM,Kansas City Chiefs,Los Angeles Chargers
2024/9/29,8:20 PM,Buffalo Bills,Baltimore Ravens
2024/9/30,7:30 PM,Tennessee Titans,Miami Dolphins
2024/9/30,8:15 PM,Seattle Seahawks,Detroit Lions
2024/10/3,8:15 PM,Tampa Bay Buccaneers,Atlanta Falcons
2024/10/6,9:30 AM,New York Jets,Minnesota Vikings
2024/10/6,1:00 PM,Baltimore Ravens,Cincinnati Bengals
2024/10/6,1:00 PM,Buffalo Bills,Houston Texans
2024/10/6,1:00 PM,Carolina Panthers,Chicago Bears
2024/10/6,1:00 PM,Cleveland Browns,Washington Commanders
2024/10/6,1:00 PM,Indianapolis Colts,Jacksonville Jaguars
2024/10/6,1:00 PM,Las Vegas Raiders,Denver Broncos
2024/10/6,1:00 PM,Miami Dolphins,New England Patriots
2024/10/6,4:05 PM,Arizona Cardinals,San Francisco 49ers
2024/10/6,4:25 PM,Green Bay Packers,Los Angeles Rams
2024/10/6,4:25 PM,New York Giants,Seattle Seahawks
2024/10/6,8:20 PM,Dallas Cowboys,Pittsburgh Steelers
2024/10/7,8:15 PM,New Orleans Saints,Kansas City Chiefs
2024/10/10,8:15 PM,San Francisco 49ers,Seattle Seahawks
2024/10/13,9:30 AM,Jacksonville Jaguars,Chicago Bears
2024/10/13,1:00 PM,Arizona Cardinals,Green Bay Packers
2024/10/13,1:00 PM,Cleveland Browns,Philadelphia Eagles
2024/10/13,1:00 PM,Houston Texans,New England Patriots
2024/10/13,1:00 PM,Indianapolis Colts,Tennessee Titans
2024/10/13,1:00 PM,Tampa Bay Buccaneers,New Orleans Saints
2024/10/13,1:00 PM,Washington Commanders,Baltimore Ravens
2024/10/13,4:05 PM,Los Angeles Chargers,Denver Broncos
2024/10/13,4:05 PM,Pittsburgh Steelers,Las Vegas Raiders
2024/10/13,4:25 PM,Atlanta Falcons,Carolina Panthers
2024/10/13,4:25 PM,Detroit Lions,Dallas Cowboys
2024/10/13,8:20 PM,Cincinnati Bengals,New York Giants
2024/10/14,8:15 PM,Buffalo Bills,New York Jets
2024/10/17,8:15 PM,Denver Broncos,New Orleans Saints
2024/10/20,9:30 AM,New England Patriots,Jacksonville Jaguars
2024/10/20,1:00 PM,Cincinnati Bengals,Cleveland Browns
2024/10/20,1:00 PM,Detroit Lions,Minnesota Vikings
2024/10/20,1:00 PM,Houston Texans,Green Bay Packers
2024/10/20,1:00 PM,Miami Dolphins,Indianapolis Colts
2024/10/20,1:00 PM,Philadelphia Eagles,New York Giants
2024/10/20,1:00 PM,Seattle Seahawks,Atlanta Falcons
2024/10/20,1:00 PM,Tennessee Titans,Buffalo Bills
2024/10/20,4:05 PM,Carolina Panthers,Washington Commanders
2024/10/20,4:05 PM,Las Vegas Raiders,Los Angeles Rams
2024/10/20,4:25 PM,Kansas City Chiefs,San Francisco 49ers
2024/10/20,8:20 PM,New York Jets,Pittsburgh Steelers
2024/10/21,8:15 PM,Baltimore Ravens,Tampa Bay Buccaneers
2024/10/21,9:00 PM,Los Angeles Chargers,Arizona Cardinals
2024/10/24,8:15 PM,Minnesota Vikings,Los Angeles Rams
2024/10/27,1:00 PM,Arizona Cardinals,Miami Dolphins
2024/10/27,1:00 PM,Atlanta Falcons,Tampa Bay Buccaneers
2024/10/27,1:00 PM,Baltimore Ravens,Cleveland Browns
2024/10/27,1:00 PM,Chicago Bears,Washington Commanders
2024/10/27,1:00 PM,Green Bay Packers,Jacksonville Jaguars
2024/10/27,1:00 PM,Indianapolis Colts,Houston Texans
2024/10/27,1:00 PM,New York Jets,New England Patriots
2024/10/27,1:00 PM,Tennessee Titans,Detroit Lions
2024/10/27,4:05 PM,Buffalo Bills,Seattle Seahawks
2024/10/27,4:05 PM,New Orleans Saints,Los Angeles Chargers
2024/10/27,4:25 PM,Carolina Panthers,Denver Broncos
2024/10/27,4:25 PM,Kansas City Chiefs,Las Vegas Raiders
2024/10/27,4:25 PM,Philadelphia Eagles,Cincinnati Bengals
2024/10/27,8:20 PM,Dallas Cowboys,San Francisco 49ers
2024/10/28,8:15 PM,New York Giants,Pittsburgh Steelers
2024/10/31,8:15 PM,Houston Texans,New York Jets
2024/11/3,1:00 PM,Dallas Cowboys,Atlanta Falcons
2024/11/3,1:00 PM,Denver Broncos,Baltimore Ravens
2024/11/3,1:00 PM,Indianapolis Colts,Minnesota Vikings
2024/11/3,1:00 PM,Las Vegas Raiders,Cincinnati Bengals
2024/11/3,1:00 PM,Los Angeles Chargers,Cleveland Browns
2024/11/3,1:00 PM,Miami Dolphins,Buffalo Bills
2024/11/3,1:00 PM,New England Patriots,Tennessee Titans
2024/11/3,1:00 PM,New Orleans Saints,Carolina Panthers
2024/11/3,1:00 PM,Washington Commanders,New York Giants
2024/11/3,4:05 PM,Chicago Bears,Arizona Cardinals
2024/11/3,4:25 PM,Detroit Lions,Green Bay Packers
2024/11/3,4:25 PM,Los Angeles Rams,Seattle Seahawks
2024/11/3,8:20 PM,Jacksonville Jaguars,Philadelphia Eagles
2024/11/4,8:15 PM,Tampa Bay Buccaneers,Kansas City Chiefs
2024/11/7,8:15 PM,Cincinnati Bengals,Baltimore Ravens
2024/11/10,9:30 AM,New York Giants,Carolina Panthers
2024/11/10,1:00 PM,Atlanta Falcons,New Orleans Saints
2024/11/10,1:00 PM,Buffalo Bills,Indianapolis Colts
2024/11/10,1:00 PM,Denver Broncos,Kansas City Chiefs
2024/11/10,1:00 PM,Minnesota Vikings,Jacksonville Jaguars
2024/11/10,1:00 PM,New England Patriots,Chicago Bears
2024/11/10,1:00 PM,Pittsburgh Steelers,Washington Commanders
2024/11/10,1:00 PM,San Francisco 49ers,Tampa Bay Buccaneers
2024/11/10,4:05 PM,Tennessee Titans,Los Angeles Chargers
2024/11/10,4:25 PM,New York Jets,Arizona Cardinals
2024/11/10,4:25 PM,Philadelphia Eagles,Dallas Cowboys
2024/11/10,8:20 PM,Detroit Lions,Houston Texans
2024/11/11,8:15 PM,Miami Dolphins,Los Angeles Rams
2024/11/14,8:15 PM,Washington Commanders,Philadelphia Eagles
2024/11/17,1:00 PM,Baltimore Ravens,Pittsburgh Steelers
2024/11/17,1:00 PM,Cleveland Browns,New Orleans Saints
2024/11/17,1:00 PM,Green Bay Packers,Chicago Bears
2024/11/17,1:00 PM,Jacksonville Jaguars,Detroit Lions
2024/11/17,1:00 PM,Las Vegas Raiders,Miami Dolphins
2024/11/17,1:00 PM,Los Angeles Rams,New England Patriots
2024/11/17,1:00 PM,Minnesota Vikings,Tennessee Titans
2024/11/17,4:05 PM,Atlanta Falcons,Denver Broncos
2024/11/17,4:05 PM,Seattle Seahawks,San Francisco 49ers
2024/11/17,4:25 PM,Cincinnati Bengals,Los Angeles Chargers
2024/11/17,4:25 PM,Kansas City Chiefs,Buffalo Bills
2024/11/17,8:20 PM,Indianapolis Colts,New York Jets
2024/11/18,8:15 PM,Houston Texans,Dallas Cowboys
2024/11/21,8:15 PM,Pittsburgh Steelers,Cleveland Browns
2024/11/24,1:00 PM,Dallas Cowboys,Washington Commanders
2024/11/24,1:00 PM,Detroit Lions,Indianapolis Colts
2024/11/24,1:00 PM,Kansas City Chiefs,Carolina Panthers
2024/11/24,1:00 PM,Minnesota Vikings,Chicago Bears
2024/11/24,1:00 PM,New England Patriots,Miami Dolphins
2024/11/24,1:00 PM,Tampa Bay Buccaneers,New York Giants
2024/11/24,1:00 PM,Tennessee Titans,Houston Texans
2024/11/24,4:05 PM,Denver Broncos,Las Vegas Raiders
2024/11/24,4:25 PM,Arizona Cardinals,Seattle Seahawks
2024/11/24,4:25 PM,San Francisco 49ers,Green Bay Packers
2024/11/24,8:20 PM,Philadelphia Eagles,Los Angeles Rams
2024/11/25,8:15 PM,Baltimore Ravens,Los Angeles Chargers
2024/11/28,12:30 PM,Chicago Bears,Detroit Lions
2024/11/28,4:30 PM,New York Giants,Dallas Cowboys
2024/11/28,8:20 PM,Miami Dolphins,Green Bay Packers
2024/11/29,3:00 PM,Las Vegas Raiders,Kansas City Chiefs
2024/12/1,1:00 PM,Arizona Cardinals,Minnesota Vikings
2024/12/1,1:00 PM,Houston Texans,Jacksonville Jaguars
2024/12/1,1:00 PM,Indianapolis Colts,New England Patriots
2024/12/1,1:00 PM,Los Angeles Chargers,Atlanta Falcons
2024/12/1,1:00 PM,Pittsburgh Steelers,Cincinnati Bengals
2024/12/1,1:00 PM,Seattle Seahawks,New York Jets
2024/12/1,1:00 PM,Tennessee Titans,Washington Commanders
2024/12/1,4:05 PM,Los Angeles Rams,New Orleans Saints
2024/12/1,4:05 PM,Tampa Bay Buccaneers,Carolina Panthers
2024/12/1,4:25 PM,Philadelphia Eagles,Baltimore Ravens
2024/12/1,8:20 PM,San Francisco 49ers,Buffalo Bills
2024/12/2,8:15 PM,Cleveland Browns,Denver Broncos
2024/12/5,8:15 PM,Green Bay Packers,Detroit Lions
2024/12/8,1:00 PM,Atlanta Falcons,Minnesota Vikings
2024/12/8,1:00 PM,Carolina Panthers,Philadelphia Eagles
2024/12/8,1:00 PM,Cleveland Browns,Pittsburgh Steelers
2024/12/8,1:00 PM,Jacksonville Jaguars,Tennessee Titans
2024/12/8,1:00 PM,Las Vegas Raiders,Tampa Bay Buccaneers
2024/12/8,1:00 PM,New Orleans Saints,New York Giants
2024/12/8,1:00 PM,New York Jets,Miami Dolphins
2024/12/8,4:05 PM,Seattle Seahawks,Arizona Cardinals
2024/12/8,4:25 PM,Buffalo Bills,Los Angeles Rams
2024/12/8,4:25 PM,Chicago Bears,San Francisco 49ers
2024/12/8,8:20 PM,Los Angeles Chargers,Kansas City Chiefs
2024/12/9,8:15 PM,Cincinnati Bengals,Dallas Cowboys
2024/12/12,8:15 PM,Los Angeles Rams,San Francisco 49ers
2024/12/15,1:00 PM,Baltimore Ravens,New York Giants
2024/12/15,1:00 PM,Cincinnati Bengals,Tennessee Titans
2024/12/15,1:00 PM,Dallas Cowboys,Carolina Panthers
2024/12/15,1:00 PM,Kansas City Chiefs,Cleveland Browns
2024/12/15,1:00 PM,Miami Dolphins,Houston Texans
2024/12/15,1:00 PM,New York Jets,Jacksonville Jaguars
2024/12/15,1:00 PM,Washington Commanders,New Orleans Saints
2024/12/15,4:25 PM,Buffalo Bills,Detroit Lions
2024/12/15,4:25 PM,Indianapolis Colts,Denver Broncos
2024/12/15,4:25 PM,New England Patriots,Arizona Cardinals
2024/12/15,4:25 PM,Pittsburgh Steelers,Philadelphia Eagles
2024/12/15,4:25 PM,Tampa Bay Buccaneers,Los Angeles Chargers
2024/12/15,8:20 PM,Green Bay Packers,Seattle Seahawks
2024/12/16,8:00 PM,Chicago Bears,Minnesota Vikings
2024/12/16,8:30 PM,Atlanta Falcons,Las Vegas Raiders
2024/12/19,8:15 PM,Cleveland Browns,Cincinnati Bengals
2024/12/21,1:00 PM,Houston Texans,Kansas City Chiefs
2024/12/21,4:30 PM,Pittsburgh Steelers,Baltimore Ravens
2024/12/22,1:00 PM,Arizona Cardinals,Carolina Panthers
2024/12/22,1:00 PM,Detroit Lions,Chicago Bears
2024/12/22,1:00 PM,Los Angeles Rams,New York Jets
2024/12/22,1:00 PM,New England Patriots,Buffalo Bills
2024/12/22,1:00 PM,New York Giants,Atlanta Falcons
2024/12/22,1:00 PM,Philadelphia Eagles,Washington Commanders
2024/12/22,1:00 PM,Tennessee Titans,Indianapolis Colts
2024/12/22,4:05 PM,Denver Broncos,Los Angeles Chargers
2024/12/22,4:05 PM,Minnesota Vikings,Seattle Seahawks
2024/12/22,4:25 PM,Jacksonville Jaguars,Las Vegas Raiders
2024/12/22,4:25 PM,San Francisco 49ers,Miami Dolphins
2024/12/22,8:20 PM,Tampa Bay Buccaneers,Dallas Cowboys
2024/12/23,8:15 PM,New Orleans Saints,Green Bay Packers
2024/12/25,1:00 PM,Kansas City Chiefs,Pittsburgh Steelers
2024/12/25,4:30 PM,Baltimore Ravens,Houston Texans
2024/12/26,8:15 PM,Seattle Seahawks,Chicago Bears
2024/12/28,1:00 PM,Denver Broncos,Cincinnati Bengals
2024/12/28,4:30 PM,Arizona Cardinals,Los Angeles Rams
2024/12/28,8:00 PM,Los Angeles Chargers,New England Patriots
2024/12/29,1:00 PM,Atlanta Falcons,Washington Commanders
2024/12/29,1:00 PM,Carolina Panthers,Tampa Bay Buccaneers
2024/12/29,1:00 PM,Green Bay Packers,Minnesota Vikings
2024/12/29,1:00 PM,Indianapolis Colts,New York Giants
2024/12/29,1:00 PM,Las Vegas Raiders,New Orleans Saints
2024/12/29,1:00 PM,New York Jets,Buffalo Bills
2024/12/29,1:00 PM,Tennessee Titans,Jacksonville Jaguars
2024/12/29,4:25 PM,Dallas Cowboys,Philadelphia Eagles
2024/12/29,8:20 PM,Miami Dolphins,Cleveland Browns
2024/12/30,8:15 PM,Detroit Lions,San Francisco 49ers
2025/1/5,1:00 PM,Buffalo Bills,New England Patriots
2025/1/5,1:00 PM,Carolina Panthers,Atlanta Falcons
2025/1/5,1:00 PM,Chicago Bears,Green Bay Packers
2025/1/5,1:00 PM,Cincinnati Bengals,Pittsburgh Steelers
2025/1/5,1:00 PM,Cleveland Browns,Baltimore Ravens
2025/1/5,1:00 PM,Houston Texans,Tennessee Titans
2025/1/5,1:00 PM,Jacksonville Jaguars,Indianapolis Colts
2025/1/5,1:00 PM,Kansas City Chiefs,Denver Broncos
2025/1/5,1:00 PM,Los Angeles Chargers,Las Vegas Raiders
2025/1/5,1:00 PM,Miami Dolphins,New York Jets
2025/1/5,1:00 PM,Minnesota Vikings,Detroit Lions
2025/1/5,1:00 PM,New Orleans Saints,Tampa Bay Buccaneers
2025/1/5,1:00 PM,New York Giants,Philadelphia Eagles
2025/1/5,1:00 PM,San Francisco 49ers,Arizona Cardinals
2025/1/5,1:00 PM,Seattle Seahawks,Los Angeles Rams
2025/1/5,1:00 PM,Washington Commanders,Dallas Cowboys